"filename", "language", "HTML", "XML", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\elite.css", "CSS", 0, 0, 0, 379, 0, 19, 65, 463
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\homepage.css", "CSS", 0, 0, 0, 192, 0, 0, 35, 227
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\listUser.css", "CSS", 0, 0, 0, 114, 0, 2, 22, 138
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\loginCss.css", "CSS", 0, 0, 0, 192, 0, 0, 34, 226
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\navTemplate.css", "CSS", 0, 0, 0, 143, 0, 0, 28, 171
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\organizer_home.css", "CSS", 0, 0, 0, 133, 0, 1, 34, 168
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\regForm.css", "CSS", 0, 0, 0, 103, 0, 1, 11, 115
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\serviceCrud.css", "CSS", 0, 0, 0, 184, 0, 1, 30, 215
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\template.css", "CSS", 0, 0, 0, 27, 0, 2, 7, 36
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\userHome.css", "CSS", 0, 0, 0, 257, 0, 19, 0, 276
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\website.css", "CSS", 0, 0, 0, 81, 0, 10, 26, 117
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\images\instagram.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\images\linkedin.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\images\twitter.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
